BOROUGH,YEAR,KILLED,INJURED,COLLISIONS
Bronx,2012,17.0,2878.0,9511
Bronx,2013,32.0,6259.0,19768
Bronx,2014,19.0,5886.0,19688
Bronx,2015,26.0,5626.0,21258
Bronx,2016,19.0,6050.0,21659
Bronx,2017,17.0,5845.0,21398
Bronx,2018,21.0,6281.0,23058
Bronx,2019,11.0,6527.0,22435
Bronx,2020,23.0,5215.0,14299
Bronx,2021,16.0,5181.0,12145
Brooklyn,2012,33.0,7526.0,23305
Brooklyn,2013,67.0,15411.0,47020
Brooklyn,2014,67.0,14245.0,47758
Brooklyn,2015,67.0,13706.0,50847
Brooklyn,2016,37.0,13452.0,47461
Brooklyn,2017,40.0,12046.0,44913
Brooklyn,2018,39.0,13197.0,47312
Brooklyn,2019,59.0,13008.0,44478
Brooklyn,2020,50.0,9697.0,25466
Brooklyn,2021,49.0,10594.0,22925
Manhattan,2012,21.0,3868.0,20720
Manhattan,2013,39.0,7585.0,41581
Manhattan,2014,35.0,6909.0,41267
Manhattan,2015,22.0,6531.0,42525
Manhattan,2016,34.0,6236.0,36071
Manhattan,2017,33.0,5647.0,31770
Manhattan,2018,19.0,5437.0,31411
Manhattan,2019,24.0,5239.0,26590
Manhattan,2020,22.0,3574.0,10853
Manhattan,2021,21.0,4169.0,10312
Queens,2012,28.0,5506.0,19138
Queens,2013,71.0,10686.0,39309
Queens,2014,52.0,10031.0,41021
Queens,2015,51.0,10412.0,42467
Queens,2016,31.0,10918.0,41360
Queens,2017,40.0,10088.0,38584
Queens,2018,53.0,10814.0,41240
Queens,2019,41.0,11084.0,39825
Queens,2020,46.0,7263.0,20656
Queens,2021,31.0,7645.0,17795
Staten Island,2012,11.0,1245.0,4902
Staten Island,2013,4.0,2111.0,8295
Staten Island,2014,10.0,1577.0,6614
Staten Island,2015,12.0,1548.0,6344
Staten Island,2016,9.0,1482.0,6708
Staten Island,2017,8.0,1550.0,6241
Staten Island,2018,7.0,1340.0,6170
Staten Island,2019,4.0,1403.0,3650
Staten Island,2020,8.0,935.0,2388
Staten Island,2021,5.0,962.0,2373
