BOROUGH,ZIP,REASON,COLLISIONS
Bronx,10451,Accelerator Defective,5
Bronx,10451,Aggressive Driving/Road Rage,64
Bronx,10451,Alcohol Involvement,121
Bronx,10451,Backing Unsafely,502
Bronx,10451,Brakes Defective,35
Bronx,10451,Cell Phone (hand-Held),2
Bronx,10451,Driver Inattention/Distraction,2105
Bronx,10451,Driver Inexperience,141
Bronx,10451,Driverless/Runaway Vehicle,9
Bronx,10451,Drugs (Illegal),2
Bronx,10451,Drugs (illegal),3
Bronx,10451,Eating or Drinking,1
Bronx,10451,Failure to Keep Right,13
Bronx,10451,Failure to Yield Right-of-Way,531
Bronx,10451,Fatigued/Drowsy,254
Bronx,10451,Fell Asleep,14
Bronx,10451,Following Too Closely,361
Bronx,10451,Glare,10
Bronx,10451,Headlights Defective,1
Bronx,10451,Illnes,5
Bronx,10451,Illness,16
Bronx,10451,Lane Marking Improper/Inadequate,9
Bronx,10451,Lost Consciousness,110
Bronx,10451,Obstruction/Debris,16
Bronx,10451,Other Electronic Device,28
Bronx,10451,Other Vehicular,555
Bronx,10451,Outside Car Distraction,71
Bronx,10451,Oversized Vehicle,71
Bronx,10451,Passenger Distraction,67
Bronx,10451,Passing Too Closely,263
Bronx,10451,Passing or Lane Usage Improper,181
Bronx,10451,Pavement Defective,8
Bronx,10451,Pavement Slippery,92
Bronx,10451,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,67
Bronx,10451,Physical Disability,56
Bronx,10451,Prescription Medication,106
Bronx,10451,Reaction to Other Uninvolved Vehicle,8
Bronx,10451,Reaction to Uninvolved Vehicle,54
Bronx,10451,Shoulders Defective/Improper,1
Bronx,10451,Steering Failure,13
Bronx,10451,Tire Failure/Inadequate,10
Bronx,10451,Tow Hitch Defective,3
Bronx,10451,Traffic Control Device Improper/Non-Working,7
Bronx,10451,Traffic Control Disregarded,132
Bronx,10451,Turning Improperly,308
Bronx,10451,Unsafe Lane Changing,197
Bronx,10451,Unsafe Speed,95
Bronx,10451,Unspecified,2704
Bronx,10451,Using On Board Navigation Device,2
Bronx,10451,Vehicle Vandalism,1
Bronx,10451,View Obstructed/Limited,68
Bronx,10452,Accelerator Defective,5
Bronx,10452,Aggressive Driving/Road Rage,80
Bronx,10452,Alcohol Involvement,102
Bronx,10452,Animals Action,7
Bronx,10452,Backing Unsafely,465
Bronx,10452,Brakes Defective,41
Bronx,10452,Cell Phone (hand-Held),4
Bronx,10452,Cell Phone (hand-held),1
Bronx,10452,Cell Phone (hands-free),1
Bronx,10452,Driver Inattention/Distraction,1527
Bronx,10452,Driver Inexperience,178
Bronx,10452,Driverless/Runaway Vehicle,10
Bronx,10452,Drugs (Illegal),1
Bronx,10452,Drugs (illegal),3
Bronx,10452,Failure to Keep Right,12
Bronx,10452,Failure to Yield Right-of-Way,455
Bronx,10452,Fatigued/Drowsy,195
Bronx,10452,Fell Asleep,17
Bronx,10452,Following Too Closely,270
Bronx,10452,Glare,17
Bronx,10452,Illnes,1
Bronx,10452,Illness,21
Bronx,10452,Lost Consciousness,103
Bronx,10452,Obstruction/Debris,30
Bronx,10452,Other Electronic Device,13
Bronx,10452,Other Vehicular,404
Bronx,10452,Outside Car Distraction,81
Bronx,10452,Oversized Vehicle,59
Bronx,10452,Passenger Distraction,79
Bronx,10452,Passing Too Closely,271
Bronx,10452,Passing or Lane Usage Improper,149
Bronx,10452,Pavement Defective,12
Bronx,10452,Pavement Slippery,119
Bronx,10452,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,36
Bronx,10452,Physical Disability,64
Bronx,10452,Prescription Medication,106
Bronx,10452,Reaction to Other Uninvolved Vehicle,15
Bronx,10452,Reaction to Uninvolved Vehicle,50
Bronx,10452,Steering Failure,10
Bronx,10452,Tinted Windows,3
Bronx,10452,Tire Failure/Inadequate,9
Bronx,10452,Tow Hitch Defective,1
Bronx,10452,Traffic Control Device Improper/Non-Working,2
Bronx,10452,Traffic Control Disregarded,182
Bronx,10452,Turning Improperly,237
Bronx,10452,Unsafe Lane Changing,123
Bronx,10452,Unsafe Speed,121
Bronx,10452,Unspecified,1094
Bronx,10452,Using On Board Navigation Device,3
Bronx,10452,Vehicle Vandalism,2
Bronx,10452,View Obstructed/Limited,65
Bronx,10453,Accelerator Defective,4
Bronx,10453,Aggressive Driving/Road Rage,47
Bronx,10453,Alcohol Involvement,80
Bronx,10453,Animals Action,5
Bronx,10453,Backing Unsafely,249
Bronx,10453,Brakes Defective,34
Bronx,10453,Cell Phone (hand-Held),1
Bronx,10453,Driver Inattention/Distraction,982
Bronx,10453,Driver Inexperience,87
Bronx,10453,Driverless/Runaway Vehicle,5
Bronx,10453,Drugs (Illegal),2
Bronx,10453,Drugs (illegal),3
Bronx,10453,Failure to Keep Right,6
Bronx,10453,Failure to Yield Right-of-Way,276
Bronx,10453,Fatigued/Drowsy,76
Bronx,10453,Fell Asleep,15
Bronx,10453,Following Too Closely,181
Bronx,10453,Glare,19
Bronx,10453,Illnes,4
Bronx,10453,Illness,7
Bronx,10453,Lane Marking Improper/Inadequate,1
Bronx,10453,Listening/Using Headphones,1
Bronx,10453,Lost Consciousness,65
Bronx,10453,Obstruction/Debris,15
Bronx,10453,Other Electronic Device,14
Bronx,10453,Other Lighting Defects,1
Bronx,10453,Other Vehicular,612
Bronx,10453,Outside Car Distraction,32
Bronx,10453,Oversized Vehicle,33
Bronx,10453,Passenger Distraction,39
Bronx,10453,Passing Too Closely,163
Bronx,10453,Passing or Lane Usage Improper,104
Bronx,10453,Pavement Defective,8
Bronx,10453,Pavement Slippery,72
Bronx,10453,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,64
Bronx,10453,Physical Disability,19
Bronx,10453,Prescription Medication,56
Bronx,10453,Reaction to Other Uninvolved Vehicle,7
Bronx,10453,Reaction to Uninvolved Vehicle,34
Bronx,10453,Steering Failure,8
Bronx,10453,Tinted Windows,1
Bronx,10453,Tire Failure/Inadequate,5
Bronx,10453,Tow Hitch Defective,1
Bronx,10453,Traffic Control Device Improper/Non-Working,2
Bronx,10453,Traffic Control Disregarded,110
Bronx,10453,Turning Improperly,132
Bronx,10453,Unsafe Lane Changing,68
Bronx,10453,Unsafe Speed,82
Bronx,10453,Unspecified,3612
